CoinID,Year,CoinType,Nation
1,2002,1cent,French
2,2002,2cent,French
3,2002,2cent,French
4,2002,20cent,French
5,2002,20cent,French
6,2002,1euro,French
7,2002,2euro,French
8,2002,1cent,French
9,2002,1cent,French
10,2002,2cent,French
11,2002,5cent,French
12,2002,5cent,French
13,2002,1cent,French
14,2002,2cent,French
15,2002,5cent,French
16,2002,10cent,French
17,2002,10cent,French
18,2002,10cent,French
19,2002,10cent,French
20,2002,10cent,French
21,2002,20cent,French
22,2002,1euro,French
23,2002,1euro,French
24,2002,1euro,French
25,2002,1euro,French
26,2002,1cent,French
27,2002,1cent,French
28,2002,1cent,French
29,2002,20cent,French
30,2002,20cent,French
31,2002,20cent,French
32,2002,2euro,French
33,2002,1cent,French
34,2002,1cent,French
35,2002,1cent,French
36,2002,1cent,French
37,2002,5cent,French
38,2002,5cent,French
39,2002,20cent,French
40,2002,20cent,French
41,2002,20cent,French
42,2002,10cent,French
43,2002,50cent,French
44,2002,2euro,French
45,2002,2euro,French
46,2002,1cent,French
47,2002,2cent,French
48,2002,2cent,French
49,2002,5cent,French
50,2002,5cent,French
51,2002,5cent,French
52,2002,10cent,French
53,2002,20cent,French
54,2002,20cent,French
55,2002,50cent,French
56,2002,1euro,French
57,2002,2euro,French
58,2002,2euro,French
59,2002,1cent,French
60,2002,1cent,French
61,2002,1cent,French
62,2002,1cent,French
63,2002,1cent,French
64,2002,1cent,French
65,2002,1cent,French
66,2002,2cent,French
67,2002,2cent,French
68,2002,2cent,French
69,2002,2cent,French
70,2002,10cent,French
71,2002,20cent,French
72,2002,20cent,French
73,2002,20cent,French
74,2002,20cent,French
75,2002,1euro,French
76,2002,1euro,French
77,2002,1cent,French
78,2002,1cent,French
79,2002,2cent,French
80,2002,2cent,French
81,2002,5cent,French
82,2002,5cent,French
83,2002,10cent,French
84,2002,10cent,French
85,2002,10cent,French
86,2002,10cent,French
87,2002,20cent,French
88,2002,20cent,French
89,2002,20cent,French
90,2002,50cent,French
91,2002,50cent,French
92,2002,50cent,French
93,2002,50cent,French
94,2002,1euro,French
95,2002,1euro,French
96,2002,1euro,French
97,2002,2euro,French
98,2002,2euro,French
99,2002,1euro,French
100,2002,2euro,French
101,2002,2euro,French
102,2002,1cent,French
103,2002,1cent,French
104,2002,1cent,French
105,2002,1cent,French
106,2002,1cent,French
107,2002,1cent,French
108,2002,1cent,French
109,2002,1cent,French
110,2002,1cent,French
111,2002,2cent,French
112,2002,2cent,French
113,2002,2cent,French
114,2002,2cent,French
115,2002,2cent,French
116,2002,2cent,French
