Timestamp,"How many hours did you sleep last night? *You must enter your answer as a number. It's fine to enter partial hours, e.g. 7.25 or 6.1."
2/28/2022 14:49:56,4.5
2/28/2022 14:51:32,6.5
3/3/2022 8:00:25,7
3/3/2022 8:01:16,4.5
3/3/2022 8:02:06,7.5
3/3/2022 8:02:16,9
3/3/2022 8:02:36,7.75
3/3/2022 8:03:26,8
3/3/2022 8:09:59,6.5
3/3/2022 8:10:03,6.25
3/3/2022 8:10:18,8
3/3/2022 8:10:47,6
3/3/2022 8:11:08,6
3/3/2022 8:11:13,7
3/3/2022 8:12:01,7
3/3/2022 8:13:12,5.75
3/3/2022 8:25:08,7.5
3/3/2022 8:39:57,8.25
3/3/2022 9:01:28,9.5
3/3/2022 9:01:29,5.5
3/3/2022 9:02:27,5
3/3/2022 9:20:38,7
3/3/2022 9:22:39,8
3/3/2022 9:23:36,11
3/3/2022 9:28:58,6
3/3/2022 9:29:02,7.25
3/3/2022 9:29:19,7
3/3/2022 9:29:24,8
3/3/2022 9:29:31,7.5
3/3/2022 9:30:59,6.61667
3/3/2022 9:31:07,7
3/3/2022 9:31:12,7
3/3/2022 9:33:48,8.5
3/3/2022 9:33:59,6.5
3/3/2022 9:35:29,7
3/3/2022 9:35:38,10
3/3/2022 9:36:49,4
3/3/2022 9:36:51,6
3/3/2022 9:37:36,7
3/3/2022 9:39:27,8
3/3/2022 9:44:37,6.5
3/3/2022 9:48:29,8.5
3/3/2022 9:58:18,4
3/3/2022 10:00:03,8
3/3/2022 10:06:55,5.5
3/3/2022 10:08:21,6
3/3/2022 10:43:00,7
3/3/2022 10:45:19,9
3/3/2022 10:50:23,8.5
3/3/2022 10:50:56,9
3/3/2022 10:52:33,6
3/3/2022 10:53:15,8
3/3/2022 10:53:55,10
3/3/2022 10:54:41,7
3/3/2022 10:55:24,7.25
3/3/2022 10:57:25,9
3/3/2022 10:58:20,7.5
3/3/2022 10:58:51,6.7
3/3/2022 10:59:30,8
3/3/2022 11:00:05,8
3/3/2022 11:01:16,7.5
3/3/2022 11:03:49,6
3/3/2022 11:04:20,8
3/3/2022 11:05:01,7
3/3/2022 11:07:58,3.5
3/3/2022 11:11:37,6
3/3/2022 11:20:44,8
3/3/2022 11:46:53,5.5
3/3/2022 12:05:29,7.5
3/3/2022 12:11:24,8.75
3/3/2022 12:15:02,8
3/3/2022 12:17:07,7.5
3/3/2022 12:17:52,7.5
3/3/2022 12:25:50,6.8
3/3/2022 12:26:54,7
3/3/2022 12:27:03,7.25
3/3/2022 12:28:16,6
3/3/2022 12:29:19,8.5
3/3/2022 12:29:19,7.5
3/3/2022 12:29:58,8.5
3/3/2022 12:32:08,8.5
3/3/2022 12:32:11,7.5
3/3/2022 12:32:11,8
3/3/2022 12:32:54,7
3/3/2022 12:33:01,7
3/3/2022 12:33:22,8.5
3/3/2022 12:34:43,5.5
3/3/2022 12:35:26,6.5
3/3/2022 12:36:04,8.5
3/3/2022 12:36:53,6.62
3/3/2022 12:37:30,6
3/3/2022 12:38:16,2.7
3/3/2022 12:39:41,7
3/3/2022 12:40:27,7.3
3/3/2022 12:40:55,10.05
3/3/2022 12:47:17,5
3/3/2022 12:50:33,8
