MPG,WT,HP
16.9,4.36,155
15.5,4.054,142
19.2,3.605,125
18.5,3.94,150
30,2.155,68
27.5,2.56,95
27.2,2.3,97
30.9,2.23,75
20.3,2.83,103
17,3.14,125
21.6,2.795,115
16.2,3.41,133
20.6,3.38,105
20.8,3.07,85
18.6,3.62,110
18.1,3.41,120
17,3.84,130
17.6,3.725,129
16.5,3.955,138
18.2,3.83,135
26.5,2.585,88
21.9,2.91,109
34.1,1.975,65
35.1,1.915,80
27.4,2.67,80
31.5,1.99,71
29.5,2.135,68
28.4,2.67,90
28.8,2.595,115
26.8,2.7,115
33.5,2.556,90
34.2,2.2,70
31.8,2.02,65
37.3,2.13,69
30.5,2.19,78
22,2.815,97
21.5,2.6,110
31.9,1.925,71
